t,theta,theta_dot,xc,xc_dot,theta_hat,theta_dot_hat,xc_hat,xc_dot_hat,theta_meas,xc_meas,xc_ref,tracking_error,u_cmd_unsat,u_cmd_sat,u_actual,disturbance,theta_est_error_deg,xc_est_error
0.365,-0.00724096682691291,-0.610024476887661,0.429208771643694,2.66523631039299,-0.0111515595942151,-0.531268440418394,0.423879572351992,2.72103861406543,-0.0050173010818436,0.427093081975817,0,-0.427093081975817,-6.36260916431001,-6.36260916431001,5.96398718887518,0,0.224060460960802,0.00532919929170178
0.37,-0.0102997246193288,-0.613487134720261,0.442568484251279,2.67865779251724,-0.0136752162491154,-0.534880698731493,0.437511889074691,2.73613309532352,-0.0113147185289885,0.446073835648234,0,-0.446073835648234,-7.69959855902969,-7.69959855902969,4.71398718887518,0,0.193401424168509,0.00505659517658802
0.375,-0.013373970794275,-0.616219946768675,0.455987629805846,2.68900983405394,-0.0163199792194127,-0.537987550189796,0.451330236211716,2.74844773188378,-0.0115765098222069,0.457170836689854,0,-0.457170836689854,-9.10002652037009,-9.10002652037009,3.46398718887518,0,0.16879384917037,0.00465739359412976
0.38,-0.0164600580043905,-0.618223662982002,0.469450866610017,2.69629464701195,-0.0189171257284984,-0.540219760003981,0.465151738179631,2.7575437415084,-0.0157056266844734,0.472307556059088,0,-0.472307556059088,-10.3441564797252,-10.3441564797252,2.21398718887518,0,0.140779610569197,0.00429912843038638
0.385,-0.0195543426504083,-0.619499032798064,0.482942864250895,2.70051453360642,-0.0215647620127418,-0.541807796718234,0.479048732583361,2.76366666694788,-0.0166495593592325,0.485245153683828,0,-0.485245153683828,-11.5685922885031,-11.5685922885031,0.963987188875183,0,0.115188544513093,0.00389413166753388
0.39,-0.0226531848805836,-0.620046805859293,0.496448304056735,2.70167188829429,-0.0241780724205522,-0.542566097000074,0.492951706588324,2.76664699272896,-0.0217592947342258,0.493986925922661,0,-0.493986925922661,-12.6579760022008,-12.6579760022008,-0.286012811124817,0,0.0873696202722878,0.0034965974684118
0.395,-0.0257529485923534,-0.619867732188859,0.509951879560103,2.69976919832839,-0.0268379061528511,-0.542704346941949,0.506791608600459,2.76648210707395,-0.0244612990154473,0.509285526250117,0,-0.509285526250117,-13.7546128090894,-13.7546128090894,-1.53601281112482,0,0.06216348916733,0.00316027095964433
0.4,-0.0288500014335224,-0.618962561825639,0.523438296960081,2.69480904282584,-0.0295036727707311,-0.542118996045931,0.52065622157677,2.76330423950779,-0.0300973562521147,0.52672368087351,0,-0.52672368087351,-14.7753694042206,-14.7753694042206,-2.78601281112482,0,0.0374526088107304,0.0027820753833101
0.405,-0.0319407148002745,-0.617332043919229,0.536892275576111,2.68679409035436,-0.0322457583917257,-0.540979168787843,0.534580914001154,2.75726981998645,-0.033131187663372,0.537937061237851,0,-0.537937061237851,-15.8220836278012,-15.8220836278012,-4.03601281112482,0,0.0174777103576646,0.00231136157495626
0.41,-0.0350214638293161,-0.614976925288831,0.550298548286089,2.67572709504691,-0.0349809750337153,-0.539112345231205,0.548429702647957,2.74810190352582,-0.031798816454955,0.554237838398059,0,-0.554237838398059,-16.7970993250559,-16.7970993250559,-5.28601281112482,0,-0.00231983710549879,0.00186884563813194
0.415,-0.0380886273814867,-0.611897948452403,0.563641861941382,2.66161089126297,-0.0376198135240263,-0.536303671737737,0.562256215390495,2.73582721184668,-0.038786623472115,0.563264846559152,0,-0.563264846559152,-17.5492877158295,-17.5492877158295,-6.53601281112482,0,-0.0268610554097295,0.00138564655088735
0.42,-0.0411385880142093,-0.608095849134943,0.576906977751578,2.64444838682124,-0.040331306415,-0.532978014313027,0.575958330096524,2.72047632294673,-0.0408102530443318,0.577410150943369,0,-0.577410150943369,-18.3658645976862,-18.3658645976862,-7.78601281112482,0,-0.0462538285132602,0.000948647655054646
